"Selected Geographies","0-9 Years Old","10-19 Years Old","20-29 Years Old","30-39 Years Old","40-49 Years Old","50-59 Years Old","60-69 Years Old","70-79 Years Old","80-89 Years Old","90-99 Years Old"
"Los Angeles County (South Central)--Hawthorne City PUMA, California","5","5","4","4","4","3","3","3","2","1"
"Los Angeles County--Redondo Beach, Manhattan Beach & Hermosa Beach Cities PUMA; California","4","4","3","3","3","3","2","2","2","2"
"Los Angeles County (South Central)--Torrance City PUMA, California","4","4","4","4","3","3","2","2","2","1"
"Los Angeles County (South Central)--Carson City PUMA, California","5","5","4","5","5","4","4","3","3","2"
"Los Angeles County (South Central)--Long Beach City (North) PUMA, California","5","5","4","4","4","3","3","3","2","3"
"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California","5","5","4","4","4","3","3","3","2","3"
"Los Angeles County (Southeast)--Long Beach City (East) PUMA, California","4","4","3","3","3","3","2","2","2","2"
"Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA, California","5","5","4","4","4","3","3","2","2","3"
"Los Angeles County (South)--LA City (South/San Pedro) PUMA, California","5","5","4","4","4","3","2","3","2","3"
"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA, California","4","4","3","3","3","3","2","2","2","2"
"Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA, California","5","5","3","3","3","3","3","2","2","2"
