,Selected Geographies,200000-Max,Negative Income,No Income,20001-40000,60001-80000,80001-120000,120001-160000,160001-200000,1-20000,400001-60000,year
61,"Los Angeles County (South Central)--Carson City PUMA, California",4.0,0,2.0,2,3,3,4,5.0,2,3,2015
62,"Los Angeles County (South Central)--Long Beach City (North) PUMA, California",3.0,0,1.0,2,3,3,4,3.0,2,3,2015
63,"Los Angeles County (South)--Lakewood, Cerritos, Artesia & Hawaiian Gardens Cities PUMA; California",4.0,0,2.0,2,3,3,3,4.0,2,3,2015
64,"Los Angeles County (Southeast)--Long Beach City (East) PUMA, California",3.0,0,2.0,2,2,2,3,3.0,2,2,2015
65,"Los Angeles County (South)--Long Beach City (Southwest & Port) PUMA, California",3.0,0,2.0,2,3,3,2,4.0,2,4,2015
66,"Los Angeles County (South)--LA City (South/San Pedro) PUMA, California",3.0,0,1.0,3,3,3,4,3.0,3,2,2015
67,"Los Angeles County (Southwest)--Palos Verdes Peninsula PUMA, California",3.0,0,1.0,2,2,2,3,3.0,1,2,2015
68,"Los Angeles County (Southeast)--Long Beach (Central) & Signal Hill Cities PUMA, California",3.0,0,1.0,3,3,2,2,3.0,2,2,2015
0,"Orange County (Southwest)--San Clemente, Laguna Niguel & San Juan Capistrano Cities PUMA; California",3.0,0,1.0,2,2,3,3,3.0,1,2,2015
1,"Orange County (South Central)--Mission Viejo & Rancho Santa Margarita (West) Cities PUMA, California",3.0,0,1.0,2,2,3,3,3.0,2,2,2015
2,"Orange County (West Central)--Newport Beach, Aliso Viejo & Laguna Hills Cities PUMA; California",3.0,0,2.0,2,2,2,3,3.0,2,2,2015
3,"Orange County (Central)--Irvine City (Central) PUMA, California",3.0,0,2.0,2,3,3,3,3.0,2,2,2015
4,"Orange County (Northeast)--Lake Forest, Irvine (North) Cities & Silverado PUMA; California",3.0,0,1.0,2,3,3,3,3.0,2,3,2015
5,"Orange County (North)--Yorba Linda, La Habra & Brea Cities PUMA; California",3.0,0,2.0,3,3,3,3,3.0,2,3,2015
6,"Orange County (North Central)--Fullerton & Placentia Cities PUMA, California",3.0,0,3.0,2,3,3,3,3.0,2,3,2015
7,"Orange County (Northwest)--Buena Park, Cypress & Seal Beach Cities PUMA; California",3.0,0,2.0,2,3,3,3,3.0,2,3,2015
8,"Orange County (North Central)--Anaheim City (West) PUMA, California",4.0,0,3.0,3,4,4,4,4.0,2,3,2015
9,"Orange County (North Central)--Anaheim City (East) PUMA, California",3.0,0,1.0,3,3,4,3,4.0,2,3,2015
10,"Orange County (Central)--Orange & Villa Park Cities PUMA, California",4.0,0,3.0,3,3,3,4,3.0,2,2,2015
11,"Orange County (Northwest)--Westminster, Stanton & Garden Grove (West) Cities PUMA; California",4.0,0,2.0,3,4,3,3,4.0,2,3,2015
12,"Orange County (Northwest)--Garden Grove City (East) PUMA, California",5.0,0,3.0,3,3,4,3,4.0,3,3,2015
13,"Orange County (Northwest)--Huntington Beach City PUMA, California",3.0,0,1.0,2,2,3,3,3.0,2,2,2015
14,"Orange County (Southeast)--Rancho Santa Margarita City (East) & Ladera Ranch PUMA, California",3.0,0,1.0,2,2,3,3,4.0,2,2,2015
15,"Orange County (Central)--Santa Ana City (West) PUMA, California",5.0,0,2.0,4,4,5,5,6.0,3,4,2015
16,"Orange County (Central)--Santa Ana City (East) PUMA, California",5.0,0,2.0,4,4,4,5,6.0,3,4,2015
17,"Orange County (Central)--Costa Mesa & Fountain Valley Cities PUMA, California",3.0,0,2.0,3,3,3,3,3.0,2,2,2015
0,"Riverside County (East)--Indio, Coachella, Blythe & La Quinta (East) Cities PUMA; California",3.0,0,1.0,3,3,3,3,2.0,2,3,2015
1,"Riverside County (Central)--Cathedral City, Palm Springs & Rancho Mirage Cities PUMA; California",2.0,0,1.0,2,2,3,3,2.0,2,2,2015
2,"Riverside County (Southwest)--Temecula City PUMA, California",4.0,0,3.0,2,3,4,3,4.0,2,3,2015
3,"Riverside County (Southwest)--Murrieta & Wildomar Cities PUMA, California",3.0,0,4.0,3,3,3,4,4.0,2,2,2015
4,"Riverside County (Southwest)--Menifee, Lake Elsinore & Canyon Lake Cities PUMA; California",5.0,0,2.0,3,3,4,3,3.0,3,3,2015
5,"Riverside County (Southwest)--Hemet City & East Hemet PUMA, California",4.0,0,2.0,3,3,4,3,4.0,2,3,2015
6,"Riverside County (North Central)--San Jacinto, Beaumont, Banning & Calimesa Cities PUMA; California",3.0,0,1.0,2,3,3,3,4.0,2,3,2015
7,"Riverside County (Northwest)--Moreno Valley City PUMA, California",4.0,0,2.0,3,4,4,3,4.0,3,3,2015
8,"Riverside County (West Central)--Perris City, Temescal Valley & Mead Valley PUMA; California",4.0,0,2.0,4,4,4,5,4.0,3,3,2015
9,"Riverside County (Northwest)--Riverside City (East) PUMA, California",3.0,0,1.0,3,3,4,3,3.0,2,3,2015
10,"Riverside County (Northwest)--Riverside City (West) PUMA, California",4.0,0,2.0,3,3,4,4,3.0,3,3,2015
11,"Riverside County (West Central)--Corona City (South), Woodcrest & Home Gardens PUMA; California",3.0,0,1.0,2,4,3,4,3.0,2,3,2015
12,"Riverside County (West Central)--Corona (Northwest) & Norco Cities PUMA, California",4.0,0,1.0,3,3,3,3,3.0,2,2,2015
13,"Riverside County (Northwest)--Jurupa Valley & Eastvale Cities PUMA, California",4.0,0,1.0,3,4,4,4,5.0,2,3,2015
14,"Riverside County--Palm Desert, La Quinta (West) & Desert Hot Springs Cities PUMA; California",2.0,0,2.0,2,3,2,3,3.0,2,3,2015
0,"Los Angeles County (North/Unincorporated)--Castaic PUMA, California",4.0,0,4.0,3,3,3,4,4.0,2,2,2016
1,"Los Angeles County (Northwest)--Santa Clarita City PUMA, California",3.0,0,2.0,2,3,3,3,3.0,2,3,2016
2,"Los Angeles County (North Central)--Lancaster City PUMA, California",3.0,0,3.0,3,3,3,3,3.0,2,3,2016
3,"Los Angeles County (North Central)--Palmdale City PUMA, California",3.0,0,2.0,3,4,4,4,3.0,3,4,2016
