city,city_ascii,state_id,lat,lng
Orcutt,Orcutt,CA,34.8668,-120.4269
Fair Oaks,Fair Oaks,CA,38.6504,-121.2497
San Pablo,San Pablo,CA,37.9628,-122.3425
Goleta,Goleta,CA,34.436,-119.8596
Burlingame,Burlingame,CA,37.586,-122.3669
Barstow,Barstow,CA,34.8661,-117.0472
Santa Paula,Santa Paula,CA,34.3521,-119.0698
Los Gatos,Los Gatos,CA,37.2303,-121.956
South Lake Tahoe,South Lake Tahoe,CA,38.9393,-119.9828
San Carlos,San Carlos,CA,37.4982,-122.268
Saratoga,Saratoga,CA,37.2684,-122.0263
Los Altos,Los Altos,CA,37.3685,-122.0966
Atascadero,Atascadero,CA,35.4827,-120.6858
Walnut,Walnut,CA,34.0334,-117.8593
Suisun City,Suisun City,CA,38.2473,-122.009
Ukiah,Ukiah,CA,39.1463,-123.2105
Atwater,Atwater,CA,37.3543,-120.5981
East Palo Alto,East Palo Alto,CA,37.4671,-122.1352
Wasco,Wasco,CA,35.5938,-119.3671
Vineyard,Vineyard,CA,38.4744,-121.319
Benicia,Benicia,CA,38.0725,-122.1525
Monterey,Monterey,CA,36.5922,-121.8807
Sonora,Sonora,CA,37.9819,-120.3828
Galt,Galt,CA,38.2693,-121.3
Sanger,Sanger,CA,36.699,-119.5575
Isla Vista,Isla Vista,CA,34.4144,-119.8581
Temescal Valley,Temescal Valley,CA,33.7581,-117.4677
Imperial Beach,Imperial Beach,CA,32.5689,-117.1184
Ladera Ranch,Ladera Ranch,CA,33.5491,-117.6416
Windsor,Windsor,CA,38.5417,-122.8086
Maywood,Maywood,CA,33.9885,-118.1877
Belmont,Belmont,CA,37.5154,-122.2955
Lemon Grove,Lemon Grove,CA,32.7331,-117.0344
Lemoore,Lemoore,CA,36.2949,-119.7983
West Whittier-Los Nietos,West Whittier-Los Nietos,CA,33.9759,-118.0689
Lafayette,Lafayette,CA,37.8919,-122.1189
Norco,Norco,CA,33.9252,-117.5499
Brawley,Brawley,CA,32.9783,-115.5287
Hercules,Hercules,CA,38.0064,-122.2564
Soledad,Soledad,CA,36.4432,-121.3426
Twentynine Palms,Twentynine Palms,CA,34.1478,-116.0659
Bay Point,Bay Point,CA,38.0329,-121.9614
San Lorenzo,San Lorenzo,CA,37.6737,-122.1349
El Cerrito,El Cerrito,CA,37.9197,-122.3025
South Pasadena,South Pasadena,CA,34.1103,-118.1573
Yucca Valley,Yucca Valley,CA,34.1234,-116.4216
