Year,Average Age Range,Ave People in Household,Ave Rent per Month,County,County Region,Cities
2019,50-59 Years Old,4.0,523.0,Los Angeles,Southeast,La Mirada & Santa Fe Springs Cities
2019,60-69 Years Old,4.0,223.0,Los Angeles,Southeast,La Mirada & Santa Fe Springs Cities
2019,70-79 Years Old,3.0,236.0,Los Angeles,Southeast,La Mirada & Santa Fe Springs Cities
2019,80-89 Years Old,2.0,190.0,Los Angeles,Southeast,La Mirada & Santa Fe Springs Cities
2019,90-99 Years Old,2.0,73.0,Los Angeles,Southeast,La Mirada & Santa Fe Springs Cities
2015,0-9 Years Old,5.0,1080.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2015,10-19 Years Old,5.0,1075.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2015,20-29 Years Old,3.0,1092.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2015,30-39 Years Old,3.0,1069.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2015,40-49 Years Old,3.0,978.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2015,50-59 Years Old,3.0,714.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2015,60-69 Years Old,3.0,521.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2015,70-79 Years Old,2.0,761.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2015,80-89 Years Old,2.0,775.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2015,90-99 Years Old,2.0,620.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2016,0-9 Years Old,5.0,1080.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2016,10-19 Years Old,5.0,1075.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2016,20-29 Years Old,4.0,1092.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2016,30-39 Years Old,3.0,1069.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2016,40-49 Years Old,3.0,978.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2016,50-59 Years Old,3.0,714.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2016,60-69 Years Old,2.0,521.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2016,70-79 Years Old,2.0,761.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2016,80-89 Years Old,3.0,775.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2016,90-99 Years Old,1.0,620.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2017,0-9 Years Old,4.0,1080.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2017,10-19 Years Old,5.0,1075.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2017,20-29 Years Old,3.0,1092.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2017,30-39 Years Old,3.0,1069.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2017,40-49 Years Old,3.0,978.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2017,50-59 Years Old,3.0,714.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2017,60-69 Years Old,2.0,521.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2017,70-79 Years Old,2.0,761.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2017,80-89 Years Old,2.0,775.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2017,90-99 Years Old,2.0,620.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2018,0-9 Years Old,4.0,1152.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2018,10-19 Years Old,5.0,1272.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2018,20-29 Years Old,3.0,1249.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2018,30-39 Years Old,3.0,1065.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2018,40-49 Years Old,3.0,1272.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2018,50-59 Years Old,3.0,764.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2018,60-69 Years Old,2.0,677.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2018,70-79 Years Old,2.0,411.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2018,80-89 Years Old,2.0,398.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2018,90-99 Years Old,2.0,572.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2019,0-9 Years Old,4.0,1255.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2019,10-19 Years Old,4.0,1280.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2019,20-29 Years Old,3.0,1266.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2019,30-39 Years Old,3.0,1021.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2019,40-49 Years Old,3.0,1076.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2019,50-59 Years Old,3.0,852.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2019,60-69 Years Old,2.0,705.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2019,70-79 Years Old,2.0,861.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2019,80-89 Years Old,3.0,274.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2019,90-99 Years Old,2.0,995.0,Los Angeles,Southeast,Long Beach (Central) & Signal Hill Cities
2015,0-9 Years Old,4.0,796.0,Los Angeles,Southeast,Long Beach City (East)
2015,10-19 Years Old,4.0,587.0,Los Angeles,Southeast,Long Beach City (East)
2015,20-29 Years Old,3.0,1128.0,Los Angeles,Southeast,Long Beach City (East)
2015,30-39 Years Old,3.0,1120.0,Los Angeles,Southeast,Long Beach City (East)
2015,40-49 Years Old,3.0,678.0,Los Angeles,Southeast,Long Beach City (East)
2015,50-59 Years Old,3.0,431.0,Los Angeles,Southeast,Long Beach City (East)
2015,60-69 Years Old,2.0,328.0,Los Angeles,Southeast,Long Beach City (East)
2015,70-79 Years Old,2.0,198.0,Los Angeles,Southeast,Long Beach City (East)
2015,80-89 Years Old,2.0,213.0,Los Angeles,Southeast,Long Beach City (East)
2015,90-99 Years Old,2.0,154.0,Los Angeles,Southeast,Long Beach City (East)
2016,0-9 Years Old,4.0,796.0,Los Angeles,Southeast,Long Beach City (East)
2016,10-19 Years Old,4.0,587.0,Los Angeles,Southeast,Long Beach City (East)
2016,20-29 Years Old,3.0,1128.0,Los Angeles,Southeast,Long Beach City (East)
2016,30-39 Years Old,3.0,1120.0,Los Angeles,Southeast,Long Beach City (East)
2016,40-49 Years Old,3.0,678.0,Los Angeles,Southeast,Long Beach City (East)
2016,50-59 Years Old,3.0,431.0,Los Angeles,Southeast,Long Beach City (East)
2016,60-69 Years Old,2.0,328.0,Los Angeles,Southeast,Long Beach City (East)
2016,70-79 Years Old,2.0,198.0,Los Angeles,Southeast,Long Beach City (East)
2016,80-89 Years Old,2.0,213.0,Los Angeles,Southeast,Long Beach City (East)
2016,90-99 Years Old,2.0,154.0,Los Angeles,Southeast,Long Beach City (East)
2017,0-9 Years Old,4.0,796.0,Los Angeles,Southeast,Long Beach City (East)
2017,10-19 Years Old,4.0,587.0,Los Angeles,Southeast,Long Beach City (East)
2017,20-29 Years Old,3.0,1128.0,Los Angeles,Southeast,Long Beach City (East)
2017,30-39 Years Old,3.0,1120.0,Los Angeles,Southeast,Long Beach City (East)
2017,40-49 Years Old,3.0,678.0,Los Angeles,Southeast,Long Beach City (East)
2017,50-59 Years Old,3.0,431.0,Los Angeles,Southeast,Long Beach City (East)
2017,60-69 Years Old,2.0,328.0,Los Angeles,Southeast,Long Beach City (East)
2017,70-79 Years Old,2.0,198.0,Los Angeles,Southeast,Long Beach City (East)
2017,80-89 Years Old,2.0,213.0,Los Angeles,Southeast,Long Beach City (East)
2017,90-99 Years Old,2.0,154.0,Los Angeles,Southeast,Long Beach City (East)
2018,0-9 Years Old,4.0,650.0,Los Angeles,Southeast,Long Beach City (East)
2018,10-19 Years Old,4.0,594.0,Los Angeles,Southeast,Long Beach City (East)
2018,20-29 Years Old,3.0,839.0,Los Angeles,Southeast,Long Beach City (East)
2018,30-39 Years Old,3.0,907.0,Los Angeles,Southeast,Long Beach City (East)
2018,40-49 Years Old,3.0,681.0,Los Angeles,Southeast,Long Beach City (East)
2018,50-59 Years Old,3.0,300.0,Los Angeles,Southeast,Long Beach City (East)
2018,60-69 Years Old,2.0,278.0,Los Angeles,Southeast,Long Beach City (East)
2018,70-79 Years Old,2.0,133.0,Los Angeles,Southeast,Long Beach City (East)
2018,80-89 Years Old,2.0,100.0,Los Angeles,Southeast,Long Beach City (East)
2018,90-99 Years Old,2.0,0.0,Los Angeles,Southeast,Long Beach City (East)
2019,0-9 Years Old,4.0,1141.0,Los Angeles,Southeast,Long Beach City (East)
2019,10-19 Years Old,4.0,659.0,Los Angeles,Southeast,Long Beach City (East)
2019,20-29 Years Old,3.0,1189.0,Los Angeles,Southeast,Long Beach City (East)
2019,30-39 Years Old,3.0,1388.0,Los Angeles,Southeast,Long Beach City (East)
2019,40-49 Years Old,3.0,715.0,Los Angeles,Southeast,Long Beach City (East)
2019,50-59 Years Old,3.0,610.0,Los Angeles,Southeast,Long Beach City (East)
2019,60-69 Years Old,2.0,461.0,Los Angeles,Southeast,Long Beach City (East)
2019,70-79 Years Old,2.0,133.0,Los Angeles,Southeast,Long Beach City (East)
2019,80-89 Years Old,2.0,211.0,Los Angeles,Southeast,Long Beach City (East)
2019,90-99 Years Old,3.0,68.0,Los Angeles,Southeast,Long Beach City (East)
2015,0-9 Years Old,6.0,551.0,Los Angeles,Southeast,Norwalk City
2015,10-19 Years Old,5.0,555.0,Los Angeles,Southeast,Norwalk City
2015,20-29 Years Old,5.0,521.0,Los Angeles,Southeast,Norwalk City
2015,30-39 Years Old,4.0,671.0,Los Angeles,Southeast,Norwalk City
2015,40-49 Years Old,5.0,424.0,Los Angeles,Southeast,Norwalk City
2015,50-59 Years Old,4.0,347.0,Los Angeles,Southeast,Norwalk City
2015,60-69 Years Old,4.0,339.0,Los Angeles,Southeast,Norwalk City
2015,70-79 Years Old,3.0,225.0,Los Angeles,Southeast,Norwalk City
2015,80-89 Years Old,2.0,141.0,Los Angeles,Southeast,Norwalk City
2015,90-99 Years Old,2.0,0.0,Los Angeles,Southeast,Norwalk City
2016,0-9 Years Old,5.0,551.0,Los Angeles,Southeast,Norwalk City
2016,10-19 Years Old,5.0,555.0,Los Angeles,Southeast,Norwalk City
2016,20-29 Years Old,5.0,521.0,Los Angeles,Southeast,Norwalk City
2016,30-39 Years Old,4.0,671.0,Los Angeles,Southeast,Norwalk City
2016,40-49 Years Old,4.0,424.0,Los Angeles,Southeast,Norwalk City
2016,50-59 Years Old,4.0,347.0,Los Angeles,Southeast,Norwalk City
2016,60-69 Years Old,4.0,339.0,Los Angeles,Southeast,Norwalk City
2016,70-79 Years Old,3.0,225.0,Los Angeles,Southeast,Norwalk City
2016,80-89 Years Old,3.0,141.0,Los Angeles,Southeast,Norwalk City
2016,90-99 Years Old,2.0,0.0,Los Angeles,Southeast,Norwalk City
2017,0-9 Years Old,5.0,551.0,Los Angeles,Southeast,Norwalk City
2017,10-19 Years Old,5.0,555.0,Los Angeles,Southeast,Norwalk City
2017,20-29 Years Old,4.0,521.0,Los Angeles,Southeast,Norwalk City
2017,30-39 Years Old,4.0,671.0,Los Angeles,Southeast,Norwalk City
2017,40-49 Years Old,4.0,424.0,Los Angeles,Southeast,Norwalk City
2017,50-59 Years Old,4.0,347.0,Los Angeles,Southeast,Norwalk City
2017,60-69 Years Old,3.0,339.0,Los Angeles,Southeast,Norwalk City
2017,70-79 Years Old,3.0,225.0,Los Angeles,Southeast,Norwalk City
2017,80-89 Years Old,3.0,141.0,Los Angeles,Southeast,Norwalk City
2017,90-99 Years Old,2.0,0.0,Los Angeles,Southeast,Norwalk City
2018,0-9 Years Old,5.0,590.0,Los Angeles,Southeast,Norwalk City
2018,10-19 Years Old,5.0,538.0,Los Angeles,Southeast,Norwalk City
2018,20-29 Years Old,4.0,682.0,Los Angeles,Southeast,Norwalk City
2018,30-39 Years Old,4.0,514.0,Los Angeles,Southeast,Norwalk City
2018,40-49 Years Old,4.0,488.0,Los Angeles,Southeast,Norwalk City
2018,50-59 Years Old,4.0,399.0,Los Angeles,Southeast,Norwalk City
2018,60-69 Years Old,3.0,321.0,Los Angeles,Southeast,Norwalk City
2018,70-79 Years Old,3.0,112.0,Los Angeles,Southeast,Norwalk City
2018,80-89 Years Old,3.0,157.0,Los Angeles,Southeast,Norwalk City
2018,90-99 Years Old,2.0,193.0,Los Angeles,Southeast,Norwalk City
2019,0-9 Years Old,5.0,816.0,Los Angeles,Southeast,Norwalk City
2019,10-19 Years Old,5.0,628.0,Los Angeles,Southeast,Norwalk City
2019,20-29 Years Old,5.0,518.0,Los Angeles,Southeast,Norwalk City
2019,30-39 Years Old,4.0,674.0,Los Angeles,Southeast,Norwalk City
2019,40-49 Years Old,4.0,586.0,Los Angeles,Southeast,Norwalk City
2019,50-59 Years Old,4.0,396.0,Los Angeles,Southeast,Norwalk City
2019,60-69 Years Old,4.0,321.0,Los Angeles,Southeast,Norwalk City
2019,70-79 Years Old,3.0,296.0,Los Angeles,Southeast,Norwalk City
2019,80-89 Years Old,2.0,151.0,Los Angeles,Southeast,Norwalk City
2019,90-99 Years Old,3.0,281.0,Los Angeles,Southeast,Norwalk City
2015,0-9 Years Old,5.0,591.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2015,10-19 Years Old,5.0,514.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2015,20-29 Years Old,4.0,715.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2015,30-39 Years Old,4.0,599.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2015,40-49 Years Old,4.0,422.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2015,50-59 Years Old,3.0,344.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2015,60-69 Years Old,3.0,206.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2015,70-79 Years Old,3.0,164.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2015,80-89 Years Old,2.0,29.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2015,90-99 Years Old,2.0,447.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2016,0-9 Years Old,5.0,591.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2016,10-19 Years Old,5.0,514.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2016,20-29 Years Old,4.0,715.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2016,30-39 Years Old,4.0,599.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2016,40-49 Years Old,4.0,422.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2016,50-59 Years Old,3.0,344.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2016,60-69 Years Old,3.0,206.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2016,70-79 Years Old,3.0,164.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2016,80-89 Years Old,2.0,29.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2016,90-99 Years Old,2.0,447.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2017,0-9 Years Old,5.0,591.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2017,10-19 Years Old,5.0,514.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2017,20-29 Years Old,4.0,715.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2017,30-39 Years Old,4.0,599.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2017,40-49 Years Old,4.0,422.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2017,50-59 Years Old,3.0,344.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2017,60-69 Years Old,3.0,206.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2017,70-79 Years Old,3.0,164.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2017,80-89 Years Old,2.0,29.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2017,90-99 Years Old,3.0,447.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2018,0-9 Years Old,5.0,543.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2018,10-19 Years Old,5.0,465.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2018,20-29 Years Old,4.0,448.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2018,30-39 Years Old,4.0,631.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2018,40-49 Years Old,4.0,505.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2018,50-59 Years Old,3.0,260.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2018,60-69 Years Old,3.0,345.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2018,70-79 Years Old,3.0,212.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2018,80-89 Years Old,2.0,249.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2018,90-99 Years Old,3.0,203.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2019,0-9 Years Old,5.0,660.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2019,10-19 Years Old,5.0,555.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2019,20-29 Years Old,4.0,656.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2019,30-39 Years Old,4.0,566.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2019,40-49 Years Old,4.0,583.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2019,50-59 Years Old,4.0,330.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2019,60-69 Years Old,3.0,252.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2019,70-79 Years Old,3.0,374.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2019,80-89 Years Old,3.0,296.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2019,90-99 Years Old,2.0,295.0,Los Angeles,Southeast,Whittier City & Hacienda Heights
2015,0-9 Years Old,4.0,1101.0,Los Angeles,Southwest,Palos Verdes Peninsula
2015,10-19 Years Old,4.0,508.0,Los Angeles,Southwest,Palos Verdes Peninsula
2015,20-29 Years Old,3.0,824.0,Los Angeles,Southwest,Palos Verdes Peninsula
2015,30-39 Years Old,3.0,886.0,Los Angeles,Southwest,Palos Verdes Peninsula
2015,40-49 Years Old,3.0,736.0,Los Angeles,Southwest,Palos Verdes Peninsula
2015,50-59 Years Old,3.0,555.0,Los Angeles,Southwest,Palos Verdes Peninsula
2015,60-69 Years Old,2.0,182.0,Los Angeles,Southwest,Palos Verdes Peninsula
2015,70-79 Years Old,2.0,155.0,Los Angeles,Southwest,Palos Verdes Peninsula
2015,80-89 Years Old,2.0,223.0,Los Angeles,Southwest,Palos Verdes Peninsula
2015,90-99 Years Old,2.0,239.0,Los Angeles,Southwest,Palos Verdes Peninsula
2016,0-9 Years Old,4.0,1101.0,Los Angeles,Southwest,Palos Verdes Peninsula
2016,10-19 Years Old,4.0,508.0,Los Angeles,Southwest,Palos Verdes Peninsula
2016,20-29 Years Old,3.0,824.0,Los Angeles,Southwest,Palos Verdes Peninsula
2016,30-39 Years Old,3.0,886.0,Los Angeles,Southwest,Palos Verdes Peninsula
2016,40-49 Years Old,4.0,736.0,Los Angeles,Southwest,Palos Verdes Peninsula
2016,50-59 Years Old,3.0,555.0,Los Angeles,Southwest,Palos Verdes Peninsula
2016,60-69 Years Old,2.0,182.0,Los Angeles,Southwest,Palos Verdes Peninsula
2016,70-79 Years Old,2.0,155.0,Los Angeles,Southwest,Palos Verdes Peninsula
2016,80-89 Years Old,2.0,223.0,Los Angeles,Southwest,Palos Verdes Peninsula
2016,90-99 Years Old,1.0,239.0,Los Angeles,Southwest,Palos Verdes Peninsula
2017,0-9 Years Old,4.0,1101.0,Los Angeles,Southwest,Palos Verdes Peninsula
2017,10-19 Years Old,4.0,508.0,Los Angeles,Southwest,Palos Verdes Peninsula
2017,20-29 Years Old,3.0,824.0,Los Angeles,Southwest,Palos Verdes Peninsula
2017,30-39 Years Old,3.0,886.0,Los Angeles,Southwest,Palos Verdes Peninsula
2017,40-49 Years Old,4.0,736.0,Los Angeles,Southwest,Palos Verdes Peninsula
2017,50-59 Years Old,3.0,555.0,Los Angeles,Southwest,Palos Verdes Peninsula
2017,60-69 Years Old,2.0,182.0,Los Angeles,Southwest,Palos Verdes Peninsula
2017,70-79 Years Old,2.0,155.0,Los Angeles,Southwest,Palos Verdes Peninsula
2017,80-89 Years Old,2.0,223.0,Los Angeles,Southwest,Palos Verdes Peninsula
2017,90-99 Years Old,2.0,239.0,Los Angeles,Southwest,Palos Verdes Peninsula
2018,0-9 Years Old,4.0,869.0,Los Angeles,Southwest,Palos Verdes Peninsula
2018,10-19 Years Old,4.0,941.0,Los Angeles,Southwest,Palos Verdes Peninsula
2018,20-29 Years Old,3.0,787.0,Los Angeles,Southwest,Palos Verdes Peninsula
2018,30-39 Years Old,3.0,787.0,Los Angeles,Southwest,Palos Verdes Peninsula
2018,40-49 Years Old,4.0,954.0,Los Angeles,Southwest,Palos Verdes Peninsula
2018,50-59 Years Old,3.0,595.0,Los Angeles,Southwest,Palos Verdes Peninsula
2018,60-69 Years Old,2.0,375.0,Los Angeles,Southwest,Palos Verdes Peninsula
2018,70-79 Years Old,2.0,244.0,Los Angeles,Southwest,Palos Verdes Peninsula
2018,80-89 Years Old,2.0,327.0,Los Angeles,Southwest,Palos Verdes Peninsula
2018,90-99 Years Old,2.0,299.0,Los Angeles,Southwest,Palos Verdes Peninsula
2019,0-9 Years Old,4.0,672.0,Los Angeles,Southwest,Palos Verdes Peninsula
2019,10-19 Years Old,4.0,936.0,Los Angeles,Southwest,Palos Verdes Peninsula
2019,20-29 Years Old,3.0,667.0,Los Angeles,Southwest,Palos Verdes Peninsula
2019,30-39 Years Old,3.0,854.0,Los Angeles,Southwest,Palos Verdes Peninsula
2019,40-49 Years Old,4.0,635.0,Los Angeles,Southwest,Palos Verdes Peninsula
2019,50-59 Years Old,3.0,651.0,Los Angeles,Southwest,Palos Verdes Peninsula
2019,60-69 Years Old,2.0,399.0,Los Angeles,Southwest,Palos Verdes Peninsula
2019,70-79 Years Old,2.0,243.0,Los Angeles,Southwest,Palos Verdes Peninsula
2019,80-89 Years Old,2.0,153.0,Los Angeles,Southwest,Palos Verdes Peninsula
2019,90-99 Years Old,2.0,312.0,Los Angeles,Southwest,Palos Verdes Peninsula
2015,0-9 Years Old,4.0,1012.0,Los Angeles,Southwest,Santa Monica City
2015,10-19 Years Old,4.0,1317.0,Los Angeles,Southwest,Santa Monica City
2015,20-29 Years Old,2.0,1709.0,Los Angeles,Southwest,Santa Monica City
2015,30-39 Years Old,2.0,1762.0,Los Angeles,Southwest,Santa Monica City
2015,40-49 Years Old,2.0,1084.0,Los Angeles,Southwest,Santa Monica City
2015,50-59 Years Old,2.0,852.0,Los Angeles,Southwest,Santa Monica City
2015,60-69 Years Old,2.0,756.0,Los Angeles,Southwest,Santa Monica City
2015,70-79 Years Old,2.0,443.0,Los Angeles,Southwest,Santa Monica City
2015,80-89 Years Old,2.0,594.0,Los Angeles,Southwest,Santa Monica City
2015,90-99 Years Old,2.0,558.0,Los Angeles,Southwest,Santa Monica City
2016,0-9 Years Old,4.0,1012.0,Los Angeles,Southwest,Santa Monica City
2016,10-19 Years Old,4.0,1317.0,Los Angeles,Southwest,Santa Monica City
2016,20-29 Years Old,3.0,1709.0,Los Angeles,Southwest,Santa Monica City
2016,30-39 Years Old,2.0,1762.0,Los Angeles,Southwest,Santa Monica City
2016,40-49 Years Old,3.0,1084.0,Los Angeles,Southwest,Santa Monica City
2016,50-59 Years Old,2.0,852.0,Los Angeles,Southwest,Santa Monica City
2016,60-69 Years Old,2.0,756.0,Los Angeles,Southwest,Santa Monica City
2016,70-79 Years Old,2.0,443.0,Los Angeles,Southwest,Santa Monica City
2016,80-89 Years Old,2.0,594.0,Los Angeles,Southwest,Santa Monica City
2016,90-99 Years Old,2.0,558.0,Los Angeles,Southwest,Santa Monica City
2017,0-9 Years Old,4.0,1012.0,Los Angeles,Southwest,Santa Monica City
2017,10-19 Years Old,4.0,1317.0,Los Angeles,Southwest,Santa Monica City
2017,20-29 Years Old,3.0,1709.0,Los Angeles,Southwest,Santa Monica City
2017,30-39 Years Old,3.0,1762.0,Los Angeles,Southwest,Santa Monica City
2017,40-49 Years Old,3.0,1084.0,Los Angeles,Southwest,Santa Monica City
2017,50-59 Years Old,2.0,852.0,Los Angeles,Southwest,Santa Monica City
2017,60-69 Years Old,2.0,756.0,Los Angeles,Southwest,Santa Monica City
2017,70-79 Years Old,2.0,443.0,Los Angeles,Southwest,Santa Monica City
2017,80-89 Years Old,1.0,594.0,Los Angeles,Southwest,Santa Monica City
2017,90-99 Years Old,1.0,558.0,Los Angeles,Southwest,Santa Monica City
2018,0-9 Years Old,4.0,1409.0,Los Angeles,Southwest,Santa Monica City
2018,10-19 Years Old,4.0,939.0,Los Angeles,Southwest,Santa Monica City
2018,20-29 Years Old,3.0,1789.0,Los Angeles,Southwest,Santa Monica City
2018,30-39 Years Old,3.0,1853.0,Los Angeles,Southwest,Santa Monica City
2018,40-49 Years Old,3.0,1352.0,Los Angeles,Southwest,Santa Monica City
2018,50-59 Years Old,2.0,1110.0,Los Angeles,Southwest,Santa Monica City
2018,60-69 Years Old,2.0,636.0,Los Angeles,Southwest,Santa Monica City
2018,70-79 Years Old,2.0,601.0,Los Angeles,Southwest,Santa Monica City
2018,80-89 Years Old,1.0,1121.0,Los Angeles,Southwest,Santa Monica City
2018,90-99 Years Old,1.0,933.0,Los Angeles,Southwest,Santa Monica City
2019,0-9 Years Old,4.0,1284.0,Los Angeles,Southwest,Santa Monica City
2019,10-19 Years Old,4.0,1289.0,Los Angeles,Southwest,Santa Monica City
2019,20-29 Years Old,2.0,1924.0,Los Angeles,Southwest,Santa Monica City
2019,30-39 Years Old,2.0,1778.0,Los Angeles,Southwest,Santa Monica City
2019,40-49 Years Old,3.0,1367.0,Los Angeles,Southwest,Santa Monica City
2019,50-59 Years Old,2.0,1132.0,Los Angeles,Southwest,Santa Monica City
2019,60-69 Years Old,2.0,721.0,Los Angeles,Southwest,Santa Monica City
2019,70-79 Years Old,2.0,557.0,Los Angeles,Southwest,Santa Monica City
2019,80-89 Years Old,2.0,867.0,Los Angeles,Southwest,Santa Monica City
2019,90-99 Years Old,2.0,1170.0,Los Angeles,Southwest,Santa Monica City
2015,0-9 Years Old,4.0,1251.0,Los Angeles,West Central,LA City (Central/Hancock Park & Mid-Wilshire)
2015,10-19 Years Old,4.0,786.0,Los Angeles,West Central,LA City (Central/Hancock Park & Mid-Wilshire)
2015,20-29 Years Old,3.0,1570.0,Los Angeles,West Central,LA City (Central/Hancock Park & Mid-Wilshire)
2015,30-39 Years Old,3.0,1419.0,Los Angeles,West Central,LA City (Central/Hancock Park & Mid-Wilshire)
2015,40-49 Years Old,3.0,1084.0,Los Angeles,West Central,LA City (Central/Hancock Park & Mid-Wilshire)
2015,50-59 Years Old,2.0,920.0,Los Angeles,West Central,LA City (Central/Hancock Park & Mid-Wilshire)
