Year,Average Age Range,Ave People in Household,Ave Rent per Month,County,County Region,Cities
2016,90-99 Years Old,3.0,210.0,Los Angeles,Central,El Monte & South El Monte Cities
2017,0-9 Years Old,6.0,752.0,Los Angeles,Central,El Monte & South El Monte Cities
2017,10-19 Years Old,6.0,753.0,Los Angeles,Central,El Monte & South El Monte Cities
2017,20-29 Years Old,5.0,695.0,Los Angeles,Central,El Monte & South El Monte Cities
2017,30-39 Years Old,5.0,817.0,Los Angeles,Central,El Monte & South El Monte Cities
2017,40-49 Years Old,5.0,620.0,Los Angeles,Central,El Monte & South El Monte Cities
2017,50-59 Years Old,4.0,548.0,Los Angeles,Central,El Monte & South El Monte Cities
2017,60-69 Years Old,4.0,345.0,Los Angeles,Central,El Monte & South El Monte Cities
2017,70-79 Years Old,4.0,251.0,Los Angeles,Central,El Monte & South El Monte Cities
2017,80-89 Years Old,3.0,206.0,Los Angeles,Central,El Monte & South El Monte Cities
2017,90-99 Years Old,2.0,210.0,Los Angeles,Central,El Monte & South El Monte Cities
2018,0-9 Years Old,6.0,807.0,Los Angeles,Central,El Monte & South El Monte Cities
2018,10-19 Years Old,6.0,866.0,Los Angeles,Central,El Monte & South El Monte Cities
2018,20-29 Years Old,5.0,830.0,Los Angeles,Central,El Monte & South El Monte Cities
2018,30-39 Years Old,5.0,821.0,Los Angeles,Central,El Monte & South El Monte Cities
2018,40-49 Years Old,5.0,783.0,Los Angeles,Central,El Monte & South El Monte Cities
2018,50-59 Years Old,4.0,617.0,Los Angeles,Central,El Monte & South El Monte Cities
2018,60-69 Years Old,4.0,444.0,Los Angeles,Central,El Monte & South El Monte Cities
2018,70-79 Years Old,4.0,390.0,Los Angeles,Central,El Monte & South El Monte Cities
2018,80-89 Years Old,3.0,385.0,Los Angeles,Central,El Monte & South El Monte Cities
2018,90-99 Years Old,2.0,483.0,Los Angeles,Central,El Monte & South El Monte Cities
2019,0-9 Years Old,6.0,920.0,Los Angeles,Central,El Monte & South El Monte Cities
2019,10-19 Years Old,5.0,980.0,Los Angeles,Central,El Monte & South El Monte Cities
2019,20-29 Years Old,5.0,868.0,Los Angeles,Central,El Monte & South El Monte Cities
2019,30-39 Years Old,4.0,821.0,Los Angeles,Central,El Monte & South El Monte Cities
2019,40-49 Years Old,5.0,912.0,Los Angeles,Central,El Monte & South El Monte Cities
2019,50-59 Years Old,4.0,720.0,Los Angeles,Central,El Monte & South El Monte Cities
2019,60-69 Years Old,3.0,486.0,Los Angeles,Central,El Monte & South El Monte Cities
2019,70-79 Years Old,3.0,485.0,Los Angeles,Central,El Monte & South El Monte Cities
2019,80-89 Years Old,4.0,452.0,Los Angeles,Central,El Monte & South El Monte Cities
2019,90-99 Years Old,4.0,272.0,Los Angeles,Central,El Monte & South El Monte Cities
2015,0-9 Years Old,4.0,953.0,Los Angeles,Central,Glendale City
2015,10-19 Years Old,4.0,923.0,Los Angeles,Central,Glendale City
2015,20-29 Years Old,3.0,1323.0,Los Angeles,Central,Glendale City
2015,30-39 Years Old,3.0,1212.0,Los Angeles,Central,Glendale City
2015,40-49 Years Old,3.0,911.0,Los Angeles,Central,Glendale City
2015,50-59 Years Old,3.0,949.0,Los Angeles,Central,Glendale City
2015,60-69 Years Old,3.0,713.0,Los Angeles,Central,Glendale City
2015,70-79 Years Old,2.0,696.0,Los Angeles,Central,Glendale City
2015,80-89 Years Old,2.0,646.0,Los Angeles,Central,Glendale City
2015,90-99 Years Old,2.0,577.0,Los Angeles,Central,Glendale City
2016,0-9 Years Old,4.0,953.0,Los Angeles,Central,Glendale City
2016,10-19 Years Old,4.0,923.0,Los Angeles,Central,Glendale City
2016,20-29 Years Old,3.0,1323.0,Los Angeles,Central,Glendale City
2016,30-39 Years Old,3.0,1212.0,Los Angeles,Central,Glendale City
2016,40-49 Years Old,3.0,911.0,Los Angeles,Central,Glendale City
2016,50-59 Years Old,3.0,949.0,Los Angeles,Central,Glendale City
2016,60-69 Years Old,2.0,713.0,Los Angeles,Central,Glendale City
2016,70-79 Years Old,2.0,696.0,Los Angeles,Central,Glendale City
2016,80-89 Years Old,2.0,646.0,Los Angeles,Central,Glendale City
2016,90-99 Years Old,2.0,577.0,Los Angeles,Central,Glendale City
2017,0-9 Years Old,4.0,953.0,Los Angeles,Central,Glendale City
2017,10-19 Years Old,4.0,923.0,Los Angeles,Central,Glendale City
2017,20-29 Years Old,3.0,1323.0,Los Angeles,Central,Glendale City
2017,30-39 Years Old,3.0,1212.0,Los Angeles,Central,Glendale City
2017,40-49 Years Old,4.0,911.0,Los Angeles,Central,Glendale City
2017,50-59 Years Old,3.0,949.0,Los Angeles,Central,Glendale City
2017,60-69 Years Old,3.0,713.0,Los Angeles,Central,Glendale City
2017,70-79 Years Old,2.0,696.0,Los Angeles,Central,Glendale City
2017,80-89 Years Old,2.0,646.0,Los Angeles,Central,Glendale City
2017,90-99 Years Old,2.0,577.0,Los Angeles,Central,Glendale City
2018,0-9 Years Old,4.0,1140.0,Los Angeles,Central,Glendale City
2018,10-19 Years Old,4.0,1121.0,Los Angeles,Central,Glendale City
2018,20-29 Years Old,3.0,1263.0,Los Angeles,Central,Glendale City
2018,30-39 Years Old,3.0,1316.0,Los Angeles,Central,Glendale City
2018,40-49 Years Old,4.0,1052.0,Los Angeles,Central,Glendale City
2018,50-59 Years Old,3.0,942.0,Los Angeles,Central,Glendale City
2018,60-69 Years Old,3.0,793.0,Los Angeles,Central,Glendale City
2018,70-79 Years Old,2.0,835.0,Los Angeles,Central,Glendale City
2018,80-89 Years Old,2.0,938.0,Los Angeles,Central,Glendale City
2018,90-99 Years Old,2.0,516.0,Los Angeles,Central,Glendale City
2019,0-9 Years Old,4.0,1158.0,Los Angeles,Central,Glendale City
2019,10-19 Years Old,4.0,1139.0,Los Angeles,Central,Glendale City
2019,20-29 Years Old,3.0,1240.0,Los Angeles,Central,Glendale City
2019,30-39 Years Old,3.0,1469.0,Los Angeles,Central,Glendale City
2019,40-49 Years Old,3.0,1117.0,Los Angeles,Central,Glendale City
2019,50-59 Years Old,3.0,914.0,Los Angeles,Central,Glendale City
2019,60-69 Years Old,3.0,760.0,Los Angeles,Central,Glendale City
2019,70-79 Years Old,2.0,613.0,Los Angeles,Central,Glendale City
2019,80-89 Years Old,2.0,763.0,Los Angeles,Central,Glendale City
2019,90-99 Years Old,3.0,736.0,Los Angeles,Central,Glendale City
2015,0-9 Years Old,5.0,774.0,Los Angeles,Central,"Huntington Park City, Florence-Graham & Walnut Park"
2015,10-19 Years Old,6.0,784.0,Los Angeles,Central,"Huntington Park City, Florence-Graham & Walnut Park"
2015,20-29 Years Old,5.0,619.0,Los Angeles,Central,"Huntington Park City, Florence-Graham & Walnut Park"
2015,30-39 Years Old,5.0,684.0,Los Angeles,Central,"Huntington Park City, Florence-Graham & Walnut Park"
2015,40-49 Years Old,5.0,755.0,Los Angeles,Central,"Huntington Park City, Florence-Graham & Walnut Park"
2015,50-59 Years Old,4.0,463.0,Los Angeles,Central,"Huntington Park City, Florence-Graham & Walnut Park"
2015,60-69 Years Old,4.0,475.0,Los Angeles,Central,"Huntington Park City, Florence-Graham & Walnut Park"
2015,70-79 Years Old,4.0,394.0,Los Angeles,Central,"Huntington Park City, Florence-Graham & Walnut Park"
2015,80-89 Years Old,4.0,181.0,Los Angeles,Central,"Huntington Park City, Florence-Graham & Walnut Park"
2015,90-99 Years Old,3.0,329.0,Los Angeles,Central,"Huntington Park City, Florence-Graham & Walnut Park"
2016,0-9 Years Old,5.0,774.0,Los Angeles,Central,"Huntington Park City, Florence-Graham & Walnut Park"
2016,10-19 Years Old,5.0,784.0,Los Angeles,Central,"Huntington Park City, Florence-Graham & Walnut Park"
